,filename,label
150,D:\data-version-control\data\raw\train\n03445777\n03445777_13783.JPEG,golf ball
151,D:\data-version-control\data\raw\train\n03445777\n03445777_138.JPEG,golf ball
152,D:\data-version-control\data\raw\train\n03445777\n03445777_1386.JPEG,golf ball
153,D:\data-version-control\data\raw\train\n03445777\n03445777_13867.JPEG,golf ball
154,D:\data-version-control\data\raw\train\n03445777\n03445777_13874.JPEG,golf ball
155,D:\data-version-control\data\raw\train\n03445777\n03445777_1389.JPEG,golf ball
156,D:\data-version-control\data\raw\train\n03445777\n03445777_13898.JPEG,golf ball
157,D:\data-version-control\data\raw\train\n03445777\n03445777_13918.JPEG,golf ball
158,D:\data-version-control\data\raw\train\n03445777\n03445777_13924.JPEG,golf ball
159,D:\data-version-control\data\raw\train\n03445777\n03445777_1403.JPEG,golf ball
160,D:\data-version-control\data\raw\train\n03445777\n03445777_14165.JPEG,golf ball
161,D:\data-version-control\data\raw\train\n03445777\n03445777_1419.JPEG,golf ball
162,D:\data-version-control\data\raw\train\n03445777\n03445777_14237.JPEG,golf ball
163,D:\data-version-control\data\raw\train\n03445777\n03445777_14243.JPEG,golf ball
164,D:\data-version-control\data\raw\train\n03445777\n03445777_14278.JPEG,golf ball
165,D:\data-version-control\data\raw\train\n03445777\n03445777_143.JPEG,golf ball
166,D:\data-version-control\data\raw\train\n03445777\n03445777_14335.JPEG,golf ball
167,D:\data-version-control\data\raw\train\n03445777\n03445777_14399.JPEG,golf ball
168,D:\data-version-control\data\raw\train\n03445777\n03445777_14457.JPEG,golf ball
169,D:\data-version-control\data\raw\train\n03445777\n03445777_14458.JPEG,golf ball
170,D:\data-version-control\data\raw\train\n03445777\n03445777_14496.JPEG,golf ball
171,D:\data-version-control\data\raw\train\n03445777\n03445777_14533.JPEG,golf ball
172,D:\data-version-control\data\raw\train\n03445777\n03445777_14568.JPEG,golf ball
173,D:\data-version-control\data\raw\train\n03445777\n03445777_14638.JPEG,golf ball
174,D:\data-version-control\data\raw\train\n03445777\n03445777_1468.JPEG,golf ball
175,D:\data-version-control\data\raw\train\n03445777\n03445777_14689.JPEG,golf ball
176,D:\data-version-control\data\raw\train\n03445777\n03445777_147.JPEG,golf ball
177,D:\data-version-control\data\raw\train\n03445777\n03445777_14706.JPEG,golf ball
178,D:\data-version-control\data\raw\train\n03445777\n03445777_1475.JPEG,golf ball
179,D:\data-version-control\data\raw\train\n03445777\n03445777_14789.JPEG,golf ball
180,D:\data-version-control\data\raw\train\n03445777\n03445777_14816.JPEG,golf ball
181,D:\data-version-control\data\raw\train\n03445777\n03445777_14849.JPEG,golf ball
182,D:\data-version-control\data\raw\train\n03445777\n03445777_14859.JPEG,golf ball
183,D:\data-version-control\data\raw\train\n03445777\n03445777_14879.JPEG,golf ball
184,D:\data-version-control\data\raw\train\n03445777\n03445777_14914.JPEG,golf ball
185,D:\data-version-control\data\raw\train\n03445777\n03445777_15017.JPEG,golf ball
186,D:\data-version-control\data\raw\train\n03445777\n03445777_15019.JPEG,golf ball
187,D:\data-version-control\data\raw\train\n03445777\n03445777_15064.JPEG,golf ball
188,D:\data-version-control\data\raw\train\n03445777\n03445777_15113.JPEG,golf ball
189,D:\data-version-control\data\raw\train\n03445777\n03445777_15126.JPEG,golf ball
190,D:\data-version-control\data\raw\train\n03445777\n03445777_15176.JPEG,golf ball
191,D:\data-version-control\data\raw\train\n03445777\n03445777_15187.JPEG,golf ball
192,D:\data-version-control\data\raw\train\n03445777\n03445777_15188.JPEG,golf ball
193,D:\data-version-control\data\raw\train\n03445777\n03445777_1519.JPEG,golf ball
194,D:\data-version-control\data\raw\train\n03445777\n03445777_15276.JPEG,golf ball
195,D:\data-version-control\data\raw\train\n03445777\n03445777_15294.JPEG,golf ball
196,D:\data-version-control\data\raw\train\n03445777\n03445777_153.JPEG,golf ball
197,D:\data-version-control\data\raw\train\n03445777\n03445777_15367.JPEG,golf ball
198,D:\data-version-control\data\raw\train\n03445777\n03445777_15388.JPEG,golf ball
199,D:\data-version-control\data\raw\train\n03445777\n03445777_15469.JPEG,golf ball
200,D:\data-version-control\data\raw\train\n03445777\n03445777_1547.JPEG,golf ball
201,D:\data-version-control\data\raw\train\n03445777\n03445777_15485.JPEG,golf ball
202,D:\data-version-control\data\raw\train\n03445777\n03445777_15568.JPEG,golf ball
203,D:\data-version-control\data\raw\train\n03445777\n03445777_15656.JPEG,golf ball
204,D:\data-version-control\data\raw\train\n03445777\n03445777_15688.JPEG,golf ball
205,D:\data-version-control\data\raw\train\n03445777\n03445777_15747.JPEG,golf ball
206,D:\data-version-control\data\raw\train\n03445777\n03445777_15776.JPEG,golf ball
207,D:\data-version-control\data\raw\train\n03445777\n03445777_15777.JPEG,golf ball
208,D:\data-version-control\data\raw\train\n03445777\n03445777_15779.JPEG,golf ball
209,D:\data-version-control\data\raw\train\n03445777\n03445777_15787.JPEG,golf ball
210,D:\data-version-control\data\raw\train\n03445777\n03445777_15875.JPEG,golf ball
211,D:\data-version-control\data\raw\train\n03445777\n03445777_15958.JPEG,golf ball
212,D:\data-version-control\data\raw\train\n03445777\n03445777_15963.JPEG,golf ball
213,D:\data-version-control\data\raw\train\n03445777\n03445777_16036.JPEG,golf ball
214,D:\data-version-control\data\raw\train\n03445777\n03445777_16067.JPEG,golf ball
215,D:\data-version-control\data\raw\train\n03445777\n03445777_16078.JPEG,golf ball
216,D:\data-version-control\data\raw\train\n03445777\n03445777_16083.JPEG,golf ball
217,D:\data-version-control\data\raw\train\n03445777\n03445777_16143.JPEG,golf ball
218,D:\data-version-control\data\raw\train\n03445777\n03445777_1616.JPEG,golf ball
219,D:\data-version-control\data\raw\train\n03445777\n03445777_16166.JPEG,golf ball
220,D:\data-version-control\data\raw\train\n03445777\n03445777_16186.JPEG,golf ball
221,D:\data-version-control\data\raw\train\n03445777\n03445777_16189.JPEG,golf ball
222,D:\data-version-control\data\raw\train\n03445777\n03445777_16203.JPEG,golf ball
223,D:\data-version-control\data\raw\train\n03445777\n03445777_16228.JPEG,golf ball
224,D:\data-version-control\data\raw\train\n03445777\n03445777_16256.JPEG,golf ball
225,D:\data-version-control\data\raw\train\n03445777\n03445777_16258.JPEG,golf ball
226,D:\data-version-control\data\raw\train\n03445777\n03445777_16294.JPEG,golf ball
227,D:\data-version-control\data\raw\train\n03445777\n03445777_16309.JPEG,golf ball
228,D:\data-version-control\data\raw\train\n03445777\n03445777_16379.JPEG,golf ball
229,D:\data-version-control\data\raw\train\n03445777\n03445777_16399.JPEG,golf ball
230,D:\data-version-control\data\raw\train\n03445777\n03445777_16413.JPEG,golf ball
231,D:\data-version-control\data\raw\train\n03445777\n03445777_16434.JPEG,golf ball
232,D:\data-version-control\data\raw\train\n03445777\n03445777_16559.JPEG,golf ball
233,D:\data-version-control\data\raw\train\n03445777\n03445777_1668.JPEG,golf ball
234,D:\data-version-control\data\raw\train\n03445777\n03445777_16733.JPEG,golf ball
235,D:\data-version-control\data\raw\train\n03445777\n03445777_1686.JPEG,golf ball
236,D:\data-version-control\data\raw\train\n03445777\n03445777_1689.JPEG,golf ball
237,D:\data-version-control\data\raw\train\n03445777\n03445777_16895.JPEG,golf ball
238,D:\data-version-control\data\raw\train\n03445777\n03445777_1697.JPEG,golf ball
239,D:\data-version-control\data\raw\train\n03445777\n03445777_1698.JPEG,golf ball
240,D:\data-version-control\data\raw\train\n03445777\n03445777_17104.JPEG,golf ball
241,D:\data-version-control\data\raw\train\n03445777\n03445777_17157.JPEG,golf ball
242,D:\data-version-control\data\raw\train\n03445777\n03445777_1717.JPEG,golf ball
243,D:\data-version-control\data\raw\train\n03445777\n03445777_17246.JPEG,golf ball
244,D:\data-version-control\data\raw\train\n03445777\n03445777_17276.JPEG,golf ball
245,D:\data-version-control\data\raw\train\n03445777\n03445777_17293.JPEG,golf ball
246,D:\data-version-control\data\raw\train\n03445777\n03445777_1737.JPEG,golf ball
247,D:\data-version-control\data\raw\train\n03445777\n03445777_17445.JPEG,golf ball
248,D:\data-version-control\data\raw\train\n03445777\n03445777_1746.JPEG,golf ball
249,D:\data-version-control\data\raw\train\n03445777\n03445777_17477.JPEG,golf ball
250,D:\data-version-control\data\raw\train\n03445777\n03445777_17564.JPEG,golf ball
251,D:\data-version-control\data\raw\train\n03445777\n03445777_17703.JPEG,golf ball
252,D:\data-version-control\data\raw\train\n03445777\n03445777_17789.JPEG,golf ball
253,D:\data-version-control\data\raw\train\n03445777\n03445777_17813.JPEG,golf ball
254,D:\data-version-control\data\raw\train\n03445777\n03445777_17833.JPEG,golf ball
255,D:\data-version-control\data\raw\train\n03445777\n03445777_18007.JPEG,golf ball
256,D:\data-version-control\data\raw\train\n03445777\n03445777_1804.JPEG,golf ball
257,D:\data-version-control\data\raw\train\n03445777\n03445777_18067.JPEG,golf ball
258,D:\data-version-control\data\raw\train\n03445777\n03445777_18068.JPEG,golf ball
259,D:\data-version-control\data\raw\train\n03445777\n03445777_1809.JPEG,golf ball
260,D:\data-version-control\data\raw\train\n03445777\n03445777_18147.JPEG,golf ball
261,D:\data-version-control\data\raw\train\n03445777\n03445777_1817.JPEG,golf ball
262,D:\data-version-control\data\raw\train\n03445777\n03445777_18234.JPEG,golf ball
263,D:\data-version-control\data\raw\train\n03445777\n03445777_1838.JPEG,golf ball
264,D:\data-version-control\data\raw\train\n03445777\n03445777_18388.JPEG,golf ball
265,D:\data-version-control\data\raw\train\n03445777\n03445777_18428.JPEG,golf ball
266,D:\data-version-control\data\raw\train\n03445777\n03445777_1848.JPEG,golf ball
267,D:\data-version-control\data\raw\train\n03445777\n03445777_1855.JPEG,golf ball
268,D:\data-version-control\data\raw\train\n03445777\n03445777_18603.JPEG,golf ball
269,D:\data-version-control\data\raw\train\n03445777\n03445777_18613.JPEG,golf ball
270,D:\data-version-control\data\raw\train\n03445777\n03445777_18643.JPEG,golf ball
271,D:\data-version-control\data\raw\train\n03445777\n03445777_1866.JPEG,golf ball
272,D:\data-version-control\data\raw\train\n03445777\n03445777_18705.JPEG,golf ball
273,D:\data-version-control\data\raw\train\n03445777\n03445777_18756.JPEG,golf ball
274,D:\data-version-control\data\raw\train\n03445777\n03445777_1879.JPEG,golf ball
275,D:\data-version-control\data\raw\train\n03445777\n03445777_18804.JPEG,golf ball
276,D:\data-version-control\data\raw\train\n03445777\n03445777_189.JPEG,golf ball
277,D:\data-version-control\data\raw\train\n03445777\n03445777_18958.JPEG,golf ball
278,D:\data-version-control\data\raw\train\n03445777\n03445777_1908.JPEG,golf ball
279,D:\data-version-control\data\raw\train\n03445777\n03445777_19159.JPEG,golf ball
280,D:\data-version-control\data\raw\train\n03445777\n03445777_1928.JPEG,golf ball
281,D:\data-version-control\data\raw\train\n03445777\n03445777_193.JPEG,golf ball
282,D:\data-version-control\data\raw\train\n03445777\n03445777_19515.JPEG,golf ball
283,D:\data-version-control\data\raw\train\n03445777\n03445777_1953.JPEG,golf ball
284,D:\data-version-control\data\raw\train\n03445777\n03445777_19586.JPEG,golf ball
285,D:\data-version-control\data\raw\train\n03445777\n03445777_1969.JPEG,golf ball
286,D:\data-version-control\data\raw\train\n03445777\n03445777_1976.JPEG,golf ball
287,D:\data-version-control\data\raw\train\n03445777\n03445777_19765.JPEG,golf ball
288,D:\data-version-control\data\raw\train\n03445777\n03445777_19807.JPEG,golf ball
289,D:\data-version-control\data\raw\train\n03445777\n03445777_19809.JPEG,golf ball
290,D:\data-version-control\data\raw\train\n03445777\n03445777_1983.JPEG,golf ball
291,D:\data-version-control\data\raw\train\n03445777\n03445777_1986.JPEG,golf ball
292,D:\data-version-control\data\raw\train\n03445777\n03445777_1988.JPEG,golf ball
293,D:\data-version-control\data\raw\train\n03445777\n03445777_19926.JPEG,golf ball
294,D:\data-version-control\data\raw\train\n03445777\n03445777_1993.JPEG,golf ball
295,D:\data-version-control\data\raw\train\n03445777\n03445777_19933.JPEG,golf ball
296,D:\data-version-control\data\raw\train\n03445777\n03445777_2017.JPEG,golf ball
297,D:\data-version-control\data\raw\train\n03445777\n03445777_2019.JPEG,golf ball
298,D:\data-version-control\data\raw\train\n03445777\n03445777_20239.JPEG,golf ball
299,D:\data-version-control\data\raw\train\n03445777\n03445777_20319.JPEG,golf ball
300,D:\data-version-control\data\raw\train\n03445777\n03445777_2035.JPEG,golf ball
301,D:\data-version-control\data\raw\train\n03445777\n03445777_2038.JPEG,golf ball
302,D:\data-version-control\data\raw\train\n03445777\n03445777_2039.JPEG,golf ball
303,D:\data-version-control\data\raw\train\n03445777\n03445777_2043.JPEG,golf ball
304,D:\data-version-control\data\raw\train\n03445777\n03445777_20454.JPEG,golf ball
305,D:\data-version-control\data\raw\train\n03445777\n03445777_2055.JPEG,golf ball
306,D:\data-version-control\data\raw\train\n03445777\n03445777_2059.JPEG,golf ball
307,D:\data-version-control\data\raw\train\n03445777\n03445777_20618.JPEG,golf ball
308,D:\data-version-control\data\raw\train\n03445777\n03445777_20707.JPEG,golf ball
309,D:\data-version-control\data\raw\train\n03445777\n03445777_20724.JPEG,golf ball
310,D:\data-version-control\data\raw\train\n03445777\n03445777_20726.JPEG,golf ball
311,D:\data-version-control\data\raw\train\n03445777\n03445777_2077.JPEG,golf ball
312,D:\data-version-control\data\raw\train\n03445777\n03445777_20777.JPEG,golf ball
313,D:\data-version-control\data\raw\train\n03445777\n03445777_2078.JPEG,golf ball
314,D:\data-version-control\data\raw\train\n03445777\n03445777_2086.JPEG,golf ball
315,D:\data-version-control\data\raw\train\n03445777\n03445777_2088.JPEG,golf ball
316,D:\data-version-control\data\raw\train\n03445777\n03445777_2113.JPEG,golf ball
317,D:\data-version-control\data\raw\train\n03445777\n03445777_2123.JPEG,golf ball
318,D:\data-version-control\data\raw\train\n03445777\n03445777_2124.JPEG,golf ball
319,D:\data-version-control\data\raw\train\n03445777\n03445777_2129.JPEG,golf ball
320,D:\data-version-control\data\raw\train\n03445777\n03445777_2133.JPEG,golf ball
321,D:\data-version-control\data\raw\train\n03445777\n03445777_2137.JPEG,golf ball
322,D:\data-version-control\data\raw\train\n03445777\n03445777_2146.JPEG,golf ball
323,D:\data-version-control\data\raw\train\n03445777\n03445777_2157.JPEG,golf ball
324,D:\data-version-control\data\raw\train\n03445777\n03445777_2158.JPEG,golf ball
325,D:\data-version-control\data\raw\train\n03445777\n03445777_2177.JPEG,golf ball
326,D:\data-version-control\data\raw\train\n03445777\n03445777_2194.JPEG,golf ball
327,D:\data-version-control\data\raw\train\n03445777\n03445777_2207.JPEG,golf ball
328,D:\data-version-control\data\raw\train\n03445777\n03445777_2227.JPEG,golf ball
329,D:\data-version-control\data\raw\train\n03445777\n03445777_2244.JPEG,golf ball
330,D:\data-version-control\data\raw\train\n03445777\n03445777_2253.JPEG,golf ball
331,D:\data-version-control\data\raw\train\n03445777\n03445777_2269.JPEG,golf ball
332,D:\data-version-control\data\raw\train\n03445777\n03445777_2298.JPEG,golf ball
333,D:\data-version-control\data\raw\train\n03445777\n03445777_2314.JPEG,golf ball
334,D:\data-version-control\data\raw\train\n03445777\n03445777_2318.JPEG,golf ball
